Index,Tag,Spine #,Title,Director,Country,Year,豆瓣电影,豆瓣年份,豆瓣打分,豆瓣信息
15,spine,16,Samurai III: Duel at Ganryu Island,Hiroshi Inagaki,Japan,1956,[宫本武藏 完结篇 决斗岩流岛 宮本武蔵 完結篇 決闘巌流島](https://movie.douban.com/subject/1304859/),1956,7.6,"导演: 稻垣浩, 类型: 动作, 地区: 日本"
16,spine,17,"Salò, or The 120 Days of Sodom",Pier Paolo Pasolini,Italy,1976,索多玛120天, , ,imbd-[tt0073650](https://www.imdb.com/title/tt0073650)
17,spine,18,The Naked Kiss,Samuel Fuller,United States,1964,[裸吻 The Naked Kiss](https://movie.douban.com/subject/1294823/),1964,7.3,"导演: 塞缪尔·富勒, 类型: 剧情, 地区: 美国"
18,spine,19,Shock Corridor,Samuel Fuller,United States,1963,[恐怖走廊 Shock Corridor](https://movie.douban.com/subject/1298471/),1963,7.7,"导演: 塞缪尔·富勒, 类型: 剧情, 地区: 美国"
19,spine,20,Sid & Nancy,Alex Cox,United Kingdom,1986,[席德与南茜 Sid and Nancy](https://movie.douban.com/subject/1293694/),1986,7.7,"导演: 亚力克斯·考克斯, 类型: 传记, 地区: 英国"
20,spine,21,Dead Ringers,David Cronenberg,United States,1988,[孽扣 Dead Ringers](https://movie.douban.com/subject/1293297/),1988,7.8,"导演: 大卫·柯南伯格, 类型: 剧情, 地区: 加拿大"
21,spine,22,Summertime,David Lean,United States,1955,[夏日时光 Summertime](https://movie.douban.com/subject/1293491/),1955,7.6,"导演: 大卫·里恩, 类型: 爱情, 地区: 英国/美国"
22,spine,23,RoboCop,Paul Verhoeven,United States,1987,[机器战警 RoboCop](https://movie.douban.com/subject/1294791/),1987,7.8,"导演: 保罗·范霍文, 类型: 动作, 地区: 美国"
23,spine,24,High and Low,Akira Kurosawa,Japan,1963,[天国与地狱 天国と地獄](https://movie.douban.com/subject/1293663/),1963,8.8,"导演: 黑泽明, 类型: 剧情, 地区: 日本"
24,spine,25,Alphaville,Jean-Luc Godard,France,1965,"[阿尔法城 Alphaville, une étrange aventure de Lemmy Caution](https://movie.douban.com/subject/1316524/)",1965,7.8,"导演: 让-吕克·戈达尔, 类型: 剧情, 地区: 法国/意大利"
25,spine,26,The Long Good Friday,John Mackenzie,United Kingdom,1980,[漫长美好的星期五 The Long Good Friday](https://movie.douban.com/subject/1292848/),1980,7.2,"导演: 约翰·麦肯齐, 类型: 犯罪, 地区: 英国"
26,spine,27,Flesh for Frankenstein,Paul Morrissey,United States,1973,[行尸走肉 Flesh for Frankenstein](https://movie.douban.com/subject/1298855/),1973,6.7,"导演: 保罗·莫里西, 类型: 剧情, 地区: 美国/意大利/法国"
27,spine,28,Blood for Dracula,Paul Morrissey,United States,1974,[魔鬼之血 Dracula cerca sangue di vergine... e morì di sete!!!](https://movie.douban.com/subject/1297364/),1974,6.3,"导演: 保罗·莫里西, 类型: 恐怖, 地区: 意大利/法国"
28,spine,29,Picnic at Hanging Rock,Peter Weir,Australia,1975,[悬崖上的野餐 Picnic at Hanging Rock](https://movie.douban.com/subject/1299539/),1975,7.5,"导演: 彼得·威尔, 类型: 剧情, 地区: 澳大利亚"
29,spine,30,M,Fritz Lang,Germany,1931,[M就是凶手 M - Eine Stadt sucht einen Mörder](https://movie.douban.com/subject/1293381/),1931,8.3,"导演: 弗里茨·朗, 类型: 剧情, 地区: 德国"
30,spine,31,Great Expectations,David Lean,United Kingdom,1946,[远大前程 Great Expectations](https://movie.douban.com/subject/1297550/),1946,7.8,"导演: 大卫·里恩, 类型: 剧情, 地区: 英国"
31,spine,32,Oliver Twist,David Lean,United Kingdom,1948,[雾都孤儿 Oliver Twist](https://movie.douban.com/subject/1299785/),1948,8.2,"导演: 大卫·里恩, 类型: 冒险, 地区: 英国"
32,spine,33,Nanook of the North,Robert Flaherty,United States,1922,[北方的纳努克 Nanook of the North](https://movie.douban.com/subject/1292735/),1922,8.5,"导演: 罗伯特·弗拉哈迪, 类型: 纪录片, 地区: 法国"
33,spine,34,Andrei Rublev,Andrei Tarkovsky,Soviet Union,1966,[安德烈·卢布廖夫 Андрей Рублёв](https://movie.douban.com/subject/1298248/),1966,9.0,"导演: 安德烈·塔可夫斯基, 类型: 传记, 地区: 苏联"
34,spine,35,Diabolique,Henri-Georges Clouzot,France,1955,[恶魔 Les Diaboliques](https://movie.douban.com/subject/1293213/),1955,8.4,"导演: 亨利-乔治·克鲁佐, 类型: 剧情, 地区: 法国"
35,spine,36,The Wages of Fear,Henri-Georges Clouzot,France,1953,[恐惧的代价 Le Salaire de la peur](https://movie.douban.com/subject/1299932/),1953,8.6,"导演: 亨利-乔治·克鲁佐, 类型: 剧情, 地区: 法国/意大利"
36,spine,37,Time Bandits,Terry Gilliam,United Kingdom,1981,[时光大盗 Time Bandits](https://movie.douban.com/subject/1292948/),1981,6.8,"导演: 特瑞·吉列姆, 类型: 喜剧, 地区: 英国"
37,spine,38,Branded to Kill,Seijun Suzuki,Japan,1967,[杀手烙印 殺しの烙印](https://movie.douban.com/subject/1401331/),1967,7.3,"导演: 铃木清顺, 类型: 剧情, 地区: 日本"
38,spine,39,Tokyo Drifter,Seijun Suzuki,Japan,1966,[东京流浪汉 東京流れ者](https://movie.douban.com/subject/1296517/),1966,7.0,"导演: 铃木清顺, 类型: 动作, 地区: 日本"
39,spine,40,Armageddon,Michael Bay,United States,1998,[世界末日 Armageddon](https://movie.douban.com/subject/1292769/),1998,7.8,"导演: 迈克尔·贝, 类型: 科幻, 地区: 美国"
40,spine,41,Henry V,Laurence Olivier,United Kingdom,1944,[亨利五世 Henry V](https://movie.douban.com/subject/1297375/),1944,7.4,"导演: 劳伦斯·奥利弗, 类型: 传记, 地区: 英国"
41,spine,42,Fishing with John,John Lurie,United States,1992,[和约翰一起钓鱼 Fishing with John](https://movie.douban.com/subject/1424546/),1991,7.6,"导演: 约翰·劳瑞, 类型: 喜剧, 地区: 美国"
42,spine,43,Lord of the Flies,Peter Brook,United Kingdom,1963,[蝇王 Lord of the Flies](https://movie.douban.com/subject/1421051/),1963,7.8,"导演: 彼得·布鲁克, 类型: 冒险, 地区: 英国"
43,spine,44,The Red Shoes,Michael Powell and Emeric Pressburger,United Kingdom,1948,[红菱艳 The Red Shoes](https://movie.douban.com/subject/1299204/),1948,8.2,"导演: 迈克尔·鲍威尔, 类型: 剧情, 地区: 英国"
44,spine,45,Taste of Cherry,Abbas Kiarostami,Iran,1997,[樱桃的滋味 طعم گیلاس](https://movie.douban.com/subject/1296177/),1997,8.1,"导演: 阿巴斯·基亚罗斯塔米, 类型: 剧情, 地区: 法国/伊朗"
45,spine,46,The Most Dangerous Game,Ernest B. Schoedsack…,United States,1932,[最危险的游戏 The Most Dangerous Game](https://movie.douban.com/subject/1298019/),1932,6.2,"导演: 欧内斯特·B·舍德萨克, 类型: 冒险, 地区: 美国"
46,spine,47,Insomnia,Erik Skjoldbjærg,Norway,1997,[极度失眠 Insomnia](https://movie.douban.com/subject/1294665/),1997,7.3,"导演: 埃里克·斯柯比约格, 类型: 犯罪, 地区: 挪威"
47,spine,48,Black Orpheus,Marcel Camus,France,1959,[黑人奥菲尔 Orfeu Negro](https://movie.douban.com/subject/1295967/),1959,6.4,"导演: 马塞尔·加缪, 类型: 喜剧, 地区: 巴西/法国/意大利"
48,spine,49,Nights of Cabiria,Federico Fellini,Italy,1957,[卡比利亚之夜 Le notti di Cabiria](https://movie.douban.com/subject/1294781/),1957,9.1,"导演: 费德里科·费里尼, 类型: 剧情, 地区: 意大利/法国"
49,spine,50,And the Ship Sails On,Federico Fellini,Italy,1983,[船续前行 E la nave va](https://movie.douban.com/subject/1303533/),1983,8.3,"导演: 费德里科·费里尼, 类型: 剧情, 地区: 意大利/法国"
50,spine,51,Brazil,Terry Gilliam,United Kingdom,1985,[妙想天开 Brazil](https://movie.douban.com/subject/1293823/),1985,8.1,"导演: 特瑞·吉列姆, 类型: 剧情, 地区: 英国/美国"
51,spine,52,Yojimbo,Akira Kurosawa,Japan,1961,[用心棒](https://movie.douban.com/subject/1292515/),1961,9.0,"导演: 黑泽明, 类型: 剧情, 地区: 日本"
52,spine,53,Sanjuro,Akira Kurosawa,Japan,1962,[椿三十郎](https://movie.douban.com/subject/1293310/),1962,8.8,"导演: 黑泽明, 类型: 剧情, 地区: 日本"
53,spine,54,For All Mankind,Al Reinert,United States,1989,[为了全人类 For All Mankind](https://movie.douban.com/subject/1416870/),1989,8.4,"导演: 阿尔·赖纳特, 类型: 纪录片, 地区: 美国"
54,spine,55,The Unbearable Lightness of Being,Philip Kaufman,United States,1988,[布拉格之恋 The Unbearable Lightness of Being](https://movie.douban.com/subject/1291859/),1988,8.2,"导演: 菲利普·考夫曼, 类型: 剧情, 地区: 美国"
55,spine,56,The 39 Steps,Alfred Hitchcock,United Kingdom,1935,[三十九级台阶 The 39 Steps](https://movie.douban.com/subject/1298412/),1935,7.8,"导演: 阿尔弗雷德·希区柯克, 类型: 悬疑, 地区: 英国"
56,spine,57,Charade,Stanley Donen,United States,1963,[谜中谜 Charade](https://movie.douban.com/subject/1295187/),1963,7.9,"导演: 斯坦利·多南, 类型: 喜剧, 地区: 美国"
57,spine,58,Peeping Tom,Michael Powell,United Kingdom,1960,[偷窥狂 Peeping Tom](https://movie.douban.com/subject/1299665/),1960,7.9,"导演: 迈克尔·鲍威尔, 类型: 剧情, 地区: 英国"
58,spine,59,The Night Porter,Liliana Cavani,Italy,1974,[午夜守门人 Il portiere di notte](https://movie.douban.com/subject/1304687/),1974,7.3,"导演: 莉莉安娜·卡瓦尼, 类型: 剧情, 地区: 意大利"
59,spine,60,Autumn Sonata,Ingmar Bergman,Sweden,1978,[秋日奏鸣曲 Höstsonaten](https://movie.douban.com/subject/1297268/),1978,9.1,"导演: 英格玛·伯格曼, 类型: 剧情, 地区: 瑞典/西德/英国"
60,spine,61,Monty Python’s Life of Brian,Terry Jones,United Kingdom,1979,[万世魔星 Life of Brian](https://movie.douban.com/subject/1292881/),1979,8.0,"导演: 特瑞·琼斯, 类型: 喜剧, 地区: 英国"
61,spine,62,The Passion of Joan of Arc,Carl Th. Dreyer,France,1928,[圣女贞德蒙难记 La Passion de Jeanne d'Arc](https://movie.douban.com/subject/1293783/),1928,8.7,"导演: 卡尔·西奥多·德莱叶, 类型: 传记, 地区: 法国"
62,spine,63,Carnival of Souls,Herk Harvey,United States,1962,[灵魂狂欢节 Carnival of Souls](https://movie.douban.com/subject/1447032/),1962,7.6,"导演: 赫克·哈维, 类型: 恐怖, 地区: 美国"
63,spine,64,The Third Man,Carol Reed,United Kingdom,1949,[第三人 The Third Man](https://movie.douban.com/subject/1295451/),1949,8.2,"导演: 卡罗尔·里德, 类型: 黑色电影, 地区: 英国"
64,spine,65,Rushmore,Wes Anderson,United States,1998,[青春年少 Rushmore](https://movie.douban.com/subject/1296835/),1998,8.1,"导演: 韦斯·安德森, 类型: 喜剧, 地区: 美国"
65,spine-boxsets,66,The Orphic Trilogy, , , , , , , 
66,spine,67,The Blood of a Poet,Jean Cocteau,France,1930,[诗人之血 Le Sang d'un Poète](https://movie.douban.com/subject/1303263/),1932,8.2,"导演: 让·科克托, 类型: 剧情, 地区: 法国"
67,spine,68,Orpheus,Jean Cocteau,France,1950,[奥菲斯 Orphée](https://movie.douban.com/subject/1436764/),1950,8.3,"导演: 让·科克托, 类型: 奇幻, 地区: 法国"
68,spine,69,Testament of Orpheus,Jean Cocteau,France,1959,[奥菲斯的遗嘱 Le testament d'Orphée ou ne me demandez pas pourquoi](https://movie.douban.com/subject/1419169/),1960,8.3,"导演: 让·科克托, 类型: 传记, 地区: 法国"
69,spine,70,The Last Temptation of Christ,Martin Scorsese,United States,1988,[基督最后的诱惑 The Last Temptation of Christ](https://movie.douban.com/subject/1292889/),1988,7.8,"导演: 马丁·斯科塞斯, 类型: 剧情, 地区: 加拿大/美国"
70,spine,71,The Magic Flute,Ingmar Bergman,Sweden,1975,[魔笛 Trollflöjten](https://movie.douban.com/subject/1292928/),1975,7.9,"导演: 英格玛·伯格曼, 类型: 歌舞, 地区: 瑞典"
71,spine,72,Le million,René Clair,France,1931,[百万法郎 Le million](https://movie.douban.com/subject/1296419/),1931,7.4,"导演: 雷内·克莱尔, 类型: 歌舞, 地区: 法国"
72,spine,73,Cléo from 5 to 7,Agnès Varda,France,1962,[五至七时的克莱奥 Cléo de 5 à 7](https://movie.douban.com/subject/1294565/),1962,8.7,"导演: 阿涅斯·瓦尔达, 类型: 喜剧, 地区: 法国/意大利"
73,spine,74,Vagabond,Agnès Varda,France,1985,[天涯沦落女 Sans toit ni loi](https://movie.douban.com/subject/1292445/),1985,8.3,"导演: 阿涅斯·瓦尔达, 类型: 剧情, 地区: 法国"
74,spine,75,Chasing Amy,Kevin Smith,United States,1997,[猜·情·寻 Chasing Amy](https://movie.douban.com/subject/1294058/),1997,7.2,"导演: 凯文·史密斯, 类型: 喜剧, 地区: 美国"
75,spine,76,Brief Encounter,David Lean,United Kingdom,1945,[相见恨晚 Brief Encounter](https://movie.douban.com/subject/1294364/),1945,8.0,"导演: 大卫·里恩, 类型: 爱情, 地区: 英国"
76,spine,77,And God Created Woman,Roger Vadim,France,1956,[上帝创造女人 Et Dieu... créa la femme](https://movie.douban.com/subject/1293758/),1956,7.1,"导演: 罗杰·瓦迪姆, 类型: 剧情, 地区: 法国/意大利"
77,spine,78,The Bank Dick,Edward Cline,United States,1940,[银行妙探 The Bank Dick](https://movie.douban.com/subject/1752120/),1940,7.1,"导演: 爱德华·克莱因, 类型: 喜剧, 地区: 美国"
78,spine-films,79,W. C. Fields—Six Short Films,"Monte Brice, Clyde Bruckman, Edwin Middleton, Leslie Pearce, and Arthur Ripley",United States,1933, , , , 
79,spine,80,The Element of Crime,Lars von Trier,Denmark,1984,[犯罪元素 Forbrydelsens element](https://movie.douban.com/subject/1298734/),1984,7.2,"导演: 拉斯·冯·提尔, 类型: 犯罪, 地区: 丹麦"
80,spine,81,Variety Lights,Federico Fellini…,Italy,1950,[卖艺春秋 Luci del varietà](https://movie.douban.com/subject/1294343/),1950,7.3,"导演: 费德里科·费里尼, 类型: 剧情, 地区: 意大利"
81,spine,82,Hamlet,Laurence Olivier,United Kingdom,1948,[王子复仇记 Hamlet](https://movie.douban.com/subject/1296390/),1948,8.3,"导演: 劳伦斯·奥利弗, 类型: 剧情, 地区: 英国"
82,spine,83,The Harder They Come,Perry Henzell,United States,1972,[不速之客 The Harder They Come](https://movie.douban.com/subject/1301883/),1972,7.4,"导演: 佩里·亨泽尔, 类型: 犯罪, 地区: 牙买加"
83,spine,84,Good Morning,Yasujiro Ozu,Japan,1959,[早安 お早よう](https://movie.douban.com/subject/1298063/),1959,8.7,"导演: 小津安二郎, 类型: 喜剧, 地区: 日本"
84,spine,85,Pygmalion,Anthony Asquith and Leslie Howard,United Kingdom,1938,[卖花女 Pygmalion](https://movie.douban.com/subject/1300614/),1938,8.3,"导演: 安东尼·阿斯奎斯, 类型: 喜剧, 地区: 英国"
85,spine-boxsets,86,Eisenstein: The Sound Years, , , , , , , 
86,spine,87,Alexander Nevsky,Sergei Eisenstein,Soviet Union,1938,[亚历山大·涅夫斯基 Александр Невский](https://movie.douban.com/subject/1299973/),1938,7.1,"导演: 谢尔盖·爱森斯坦, 类型: 动作, 地区: 苏联"
87,spine,88,"Ivan the Terrible, Part I",Sergei Eisenstein,Soviet Union,1944,[伊凡雷帝 Иван Грозный](https://movie.douban.com/subject/1298182/),1944,8.0,"导演: 谢尔盖·爱森斯坦, 类型: 传记, 地区: 苏联"
88,spine,89,Sisters,Brian De Palma,United States,1973,[姐妹情仇 Sisters](https://movie.douban.com/subject/1293568/),1972,7.1,"导演: 布莱恩·德·帕尔玛, 类型: 恐怖, 地区: 美国"
89,spine,90,Kwaidan,Masaki Kobayashi,Japan,1965,[怪谈 怪談](https://movie.douban.com/subject/1303083/),1964,8.6,"导演: 小林正树, 类型: 剧情, 地区: 日本"
90,spine,91,The Blob,Irvin S. Yeaworth Jr.,United States,1958,[变形怪体 The Blob](https://movie.douban.com/subject/1440617/),1958,6.2,"导演: 小艾尔文·S·伊沃斯, 类型: 恐怖, 地区: 美国"
91,spine,92,Fiend Without a Face,Arthur Crabtree,United Kingdom,1958,[没有面孔的恶魔 Fiend Without a Face](https://movie.douban.com/subject/1752145/),1959,6.4,"导演: Arthur Crabtree, 类型: 恐怖, 地区: 英国"
92,spine,93,Black Narcissus,Michael Powell and Emeric Pressburger,United Kingdom,1947,[黑水仙 Black Narcissus](https://movie.douban.com/subject/1292733/),1947,7.7,"导演: 迈克尔·鲍威尔, 类型: 剧情, 地区: 英国"
93,spine,94,I Know Where I’m Going!,Michael Powell and Emeric Pressburger,United Kingdom,1945,[我走我路 I Know Where I'm Going!](https://movie.douban.com/subject/1308333/),1945,7.0,"导演: 迈克尔·鲍威尔, 类型: 剧情, 地区: 英国"
94,spine,95,All That Heaven Allows,Douglas Sirk,United States,1955,[深锁春光一院愁 All That Heaven Allows](https://movie.douban.com/subject/1303345/),1955,7.6,"导演: 道格拉斯·塞克, 类型: 剧情, 地区: 美国"
95,spine,96,Written on the Wind,Douglas Sirk,United States,1956,[苦雨恋春风 Written on the Wind](https://movie.douban.com/subject/1303302/),1956,7.3,"导演: 道格拉斯·塞克, 类型: 剧情, 地区: 美国"
96,spine,97,Do the Right Thing,Spike Lee,United States,1989,[为所应为 Do the Right Thing](https://movie.douban.com/subject/1293958/),1989,8.2,"导演: 斯派克·李, 类型: 剧情, 地区: 美国"
97,spine,98,L’avventura,Michelangelo Antonioni,Italy,1960,[奇遇 L'avventura](https://movie.douban.com/subject/1389923/),1960,8.2,"导演: 米开朗基罗·安东尼奥尼, 类型: 剧情, 地区: 意大利/法国"
98,spine,99,Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",United States,1970,[给我庇护 Gimme Shelter](https://movie.douban.com/subject/1419271/),1970,8.3,"导演: 阿尔伯特·梅索斯, 类型: 纪录片, 地区: 美国"
99,spine,100,Beastie Boys Video Anthology,Various,United States,2000,[野兽男孩Video精选 Beastie Boys: Video Anthology](https://movie.douban.com/subject/1440130/),2000,8.2,"导演: Evan Bernard, 类型: 纪录片, 地区: 美国"
100,spine,101,Cries and Whispers,Ingmar Bergman,Sweden,1972,[呼喊与细语 Viskningar och rop](https://movie.douban.com/subject/1296147/),1972,8.6,"导演: 英格玛·伯格曼, 类型: 剧情, 地区: 瑞典"
101,spine,102,The Discreet Charm of the Bourgeoisie,Luis Buñuel,France,1972,[资产阶级的审慎魅力 Le Charme discret de la bourgeoisie](https://movie.douban.com/subject/1303364/),1972,8.2,"导演: 路易斯·布努埃尔, 类型: 喜剧, 地区: 法国/意大利/西班牙"
102,spine,103,The Lady Eve,Preston Sturges,United States,1941,[淑女伊芙 The Lady Eve](https://movie.douban.com/subject/1303415/),1941,7.6,"导演: 普莱斯顿·斯特奇斯, 类型: 喜剧, 地区: 美国"
103,spine,104,Double Suicide,Masahiro Shinoda,Japan,1969,[心中天网岛 心中天網島](https://movie.douban.com/subject/1294378/),1969,7.9,"导演: 筱田正浩, 类型: 剧情, 地区: 日本"
104,spine,105,Spartacus,Stanley Kubrick,United States,1960,[斯巴达克斯 Spartacus](https://movie.douban.com/subject/1298366/),1960,8.1,"导演: 斯坦利·库布里克, 类型: 动作, 地区: 美国"
105,spine,106,Coup de torchon,Bertrand Tavernier,France,1981,[政变 Coup de torchon](https://movie.douban.com/subject/1303063/),1981,7.2,"导演: 贝特朗·塔维涅, 类型: 喜剧, 地区: 法国"
106,spine,107,Mona Lisa,Neil Jordan,United Kingdom,1986,[蒙娜丽莎 Mona Lisa](https://movie.douban.com/subject/1299557/),1986,7.4,"导演: 尼尔·乔丹, 类型: 犯罪, 地区: 英国"
107,spine,108,The Rock,Michael Bay,United States,1996,[勇闯夺命岛 The Rock](https://movie.douban.com/subject/1292728/),1996,8.6,"导演: 迈克尔·贝, 类型: 动作, 地区: 美国"
108,spine,109,The Scarlet Empress,Josef von Sternberg,United States,1934,[放荡的女皇 The Scarlet Empress](https://movie.douban.com/subject/1298465/),1934,7.1,"导演: 约瑟夫·冯·斯登堡, 类型: 剧情, 地区: 美国"
109,spine,110,Monsieur Hulot’s Holiday,Jacques Tati,France,1953,[于洛先生的假期 Les vacances de Monsieur Hulot](https://movie.douban.com/subject/1305790/),1953,8.0,"导演: 雅克·塔蒂, 类型: 喜剧, 地区: 法国"
110,spine,111,Mon oncle,Jacques Tati,France,1958,[我的舅舅 Mon Oncle](https://movie.douban.com/subject/1400829/),1958,8.6,"导演: 雅克·塔蒂, 类型: 喜剧, 地区: 意大利/法国"
111,spine,112,PlayTime,Jacques Tati,France,1967,[玩乐时间 Play Time](https://movie.douban.com/subject/1303543/),1967,8.8,"导演: 雅克·塔蒂, 类型: 喜剧, 地区: 法国/意大利"
112,spine,113,Big Deal on Madonna Street,Mario Monicelli,Italy,1958,[圣母街上的大人物 I soliti ignoti](https://movie.douban.com/subject/1303089/),1958,8.2,"导演: 马里奥·莫尼切利, 类型: 喜剧, 地区: 意大利"
113,spine,114,My Man Godfrey,Gregory La Cava,United States,1936,[我的戈弗雷 My Man Godfrey](https://movie.douban.com/subject/1300241/),1936,7.5,"导演: 格雷戈里·拉·卡瓦, 类型: 爱情, 地区: 美国"
114,spine,115,Rififi,Jules Dassin,France,1955,[男人的争斗 Du rififi chez les hommes](https://movie.douban.com/subject/1299885/),1955,8.5,"导演: 朱尔斯·达辛, 类型: 剧情, 地区: 法国"
115,spine,116,The Hidden Fortress,Akira Kurosawa,Japan,1958,[战国英豪 隠し砦の三悪人](https://movie.douban.com/subject/1303110/),1958,8.4,"导演: 黑泽明, 类型: 剧情, 地区: 日本"
116,spine,117,Diary of a Chambermaid,Luis Buñuel,France,1964,[女仆日记 Le journal d'une femme de chambre](https://movie.douban.com/subject/1298474/),1964,7.4,"导演: 路易斯·布努埃尔, 类型: 犯罪, 地区: 法国/意大利"
117,spine,118,Sullivan’s Travels,Preston Sturges,United States,1941,[苏利文的旅行 Sullivan's Travels](https://movie.douban.com/subject/1303416/),1941,7.6,"导演: 普莱斯顿·斯特奇斯, 类型: 冒险, 地区: 美国"
118,spine,119,Withnail and I,Bruce Robinson,United Kingdom,1986,[我与长指甲 Withnail & I](https://movie.douban.com/subject/1304857/),1987,7.8,"导演: 布鲁斯·罗宾逊, 类型: 喜剧, 地区: 英国"
119,spine,120,How to Get Ahead in Advertising,Bruce Robinson,United Kingdom,1988,[广告之王 How to Get Ahead in Advertising](https://movie.douban.com/subject/1752159/),1989,7.4,"导演: 布鲁斯·罗宾逊, 类型: 喜剧, 地区: 英国"
120,spine,121,Billy Liar,John Schlesinger,United Kingdom,1963,[说谎者比利 Billy Liar](https://movie.douban.com/subject/1427349/),1963,7.6,"导演: 约翰·施莱辛格, 类型: 喜剧, 地区: 英国"
121,spine,122,Salesman,"David Maysles, Albert Maysles, and Charlotte Zwerin",United States,1969,[推销员 Salesman](https://movie.douban.com/subject/1395036/),1969,7.9,"导演: 阿尔伯特·梅索斯, 类型: 纪录片, 地区: 美国"
122,spine,123,Grey Gardens,"David Maysles, Albert Maysles, Ellen Hovde, and Muffie Meyer",United States,1976,[灰色花园 Grey Gardens](https://movie.douban.com/subject/1419111/),1975,8.2,"导演: Ellen Hovde, 类型: 纪录片, 地区: 美国"
123,spine-boxsets,124,Carl Theodor Dreyer, , , , , , , 
124,spine,125,Day of Wrath,Carl Th. Dreyer,Denmark,1943,[复仇之日 Vredens dag](https://movie.douban.com/subject/1305896/),1943,8.3,"导演: 卡尔·西奥多·德莱叶, 类型: 剧情, 地区: 丹麦"
125,spine,126,Ordet,Carl Th. Dreyer,Denmark,1955,[词语 Ordet](https://movie.douban.com/subject/1303566/),1955,8.3,"导演: 卡尔·西奥多·德莱叶, 类型: 剧情, 地区: 丹麦"
126,spine,127,Gertrud,Carl Th. Dreyer,Denmark,1964,[葛楚 Gertrud](https://movie.douban.com/subject/1420116/),1964,8.1,"导演: 卡尔·西奥多·德莱叶, 类型: 剧情, 地区: 丹麦"
127,spine,128,Carl Th. Dreyer—My Metier,Torben Skjødt Jensen,Denmark,1995,[我的工作 Carl Th. Dreyer: Min metier](https://movie.douban.com/subject/1420117/),1995,7.9,"导演: Torben Skjødt Jensen, 类型: 纪录片, 地区: 丹麦"
