Index,Type 类别,Title 电影,Director 导演,Writer 编剧,Actor 主演,Rank 排名,Score 打分,Votes 人数,Comment 短评,Review 影评,Alias 别名,Year 年份,Region 地区,Genre 类型,Length 片长,IMDb
17,电影,[无间道 無間道](https://movie.douban.com/subject/1307914/),刘伟强 / 麦兆辉,麦兆辉 / 庄文强,刘德华 / 梁朝伟 / ...,🎉018,🌟9.3,1383465,226271,1831,無間道 / Infernal Affairs / Mou gaan dou,2002,中国香港,剧情 / 惊悚 / 犯罪,101分钟 / 97分钟(导演剪辑版),[tt0338564](https://imdb.com/title/tt0338564)
18,电影,[控方证人 Witness for the Prosecution](https://movie.douban.com/subject/1296141/),比利·怀尔德,阿加莎·克里斯蒂 / 比利·怀尔德 / 哈里·库尼兹,泰隆·鲍华 / 玛琳·黛德丽 / ...,🎉019,🌟9.6,574512,166009,1270,Witness for the Prosecution / 雄才伟略 / 情妇,1957,美国,剧情 / 悬疑 / 犯罪,116分钟,[tt0051201](https://imdb.com/title/tt0051201)
19,电影,[大话西游之大圣娶亲 西遊記大結局之仙履奇緣](https://movie.douban.com/subject/1292213/),刘镇伟,刘镇伟 / 吴承恩,周星驰 / 吴孟达 / ...,🎉020,🌟9.2,1551152,261644,4771,西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘 / 齐天大圣西游记 / 大话东游之二 / 大话西游之大圣娶妻 / A Chinese Odyssey Part Two - Cinderella,1995,中国香港 / 中国大陆,喜剧 / 爱情 / 奇幻 / 古装,95分钟 / 110分钟(重映版),[tt0114996](https://imdb.com/title/tt0114996)
20,电影,[熔炉 도가니](https://movie.douban.com/subject/5912992/),黄东赫,黄东赫 / 孔枝泳,孔刘 / 郑有美 / ...,🎉021,🌟9.4,941794,218609,4164,도가니 / 无声呐喊(港) / 漩涡 / Silenced / The Crucible,2011,韩国,剧情,125分钟,[tt2070649](https://imdb.com/title/tt2070649)
21,电影,[教父 The Godfather](https://movie.douban.com/subject/1291841/),弗朗西斯·福特·科波拉,马里奥·普佐 / 弗朗西斯·福特·科波拉,马龙·白兰度 / 阿尔·帕西诺 / ...,🎉022,🌟9.3,980906,168864,2110,The Godfather / Mario Puzo's The Godfather,1972,美国,剧情 / 犯罪,175 分钟,[tt0068646](https://imdb.com/title/tt0068646)
22,电影,[触不可及 Intouchables](https://movie.douban.com/subject/6786002/),奥利维埃·纳卡什 / 埃里克·托莱达诺,奥利维埃·纳卡什 / 埃里克·托莱达诺,弗朗索瓦·克鲁塞 / 奥玛·希 / ...,🎉023,🌟9.3,1132529,244615,3278,Intouchables / 闪亮人生(港) / 逆转人生(台) / 无法触碰 / 最佳拍档 / 不可触碰 / 不可触摸 / Untouchable / The Intouchables,2011,法国,剧情 / 喜剧,112分钟,[tt1675434](https://imdb.com/title/tt1675434)
23,电影,[当幸福来敲门 The Pursuit of Happyness](https://movie.douban.com/subject/1849031/),加布里埃莱·穆奇诺,斯蒂夫·康拉德,威尔·史密斯 / 贾登·史密斯 / ...,🎉024,🌟9.2,1537520,249728,4874,The Pursuit of Happyness / 寻找快乐的故事(港) / 追求快乐 / 幸福追击 / The Pursuit of Happiness,2006,美国,剧情 / 家庭 / 传记,117分钟,[tt0454921](https://imdb.com/title/tt0454921)
24,电影,[末代皇帝 The Last Emperor](https://movie.douban.com/subject/1293172/),贝纳尔多·贝托鲁奇,贝纳尔多·贝托鲁奇 / 马克·派普罗,尊龙 / 陈冲 / ...,🎉025,🌟9.3,899539,185863,2999,The Last Emperor / 末代皇帝溥仪(港) / L'ultimo imperatore / Le dernier empereur,1987,英国 / 意大利 / 中国大陆 / 法国,剧情 / 传记 / 历史,163分钟 / 210分钟(电视版),[tt0093389](https://imdb.com/title/tt0093389)
25,电影,[寻梦环游记 Coco](https://movie.douban.com/subject/20495023/),李·昂克里奇 / 阿德里安·莫利纳,阿德里安·莫利纳 / 马修·奥尔德里奇 / 李·昂克里奇 / 詹森·卡茨,安东尼·冈萨雷斯 / 盖尔·加西亚·贝纳尔 / ...,🎉026,🌟9.1,1708298,435580,7277,Coco / 玩转极乐园(港) / 可可夜总会(台) / 亡灵总动员(豆友译名) / 冥冥之中(豆友译名) / 墨西哥亡灵节 / 可可,2017,美国,喜剧 / 动画 / 音乐 / 奇幻,105分钟,[tt2380307](https://imdb.com/title/tt2380307)
26,电影,[龙猫 となりのトトロ](https://movie.douban.com/subject/1291560/),宫崎骏,宫崎骏,日高范子 / 坂本千夏 / ...,🎉027,🌟9.2,1281318,239494,2686,となりのトトロ / 邻居托托罗 / 邻家的豆豆龙 / 隔壁的特特罗 / Tonari no Totoro / My Neighbor Totoro,1988,日本,动画 / 奇幻 / 冒险,86分钟,[tt0096283](https://imdb.com/title/tt0096283)
27,电影,[怦然心动 Flipped](https://movie.douban.com/subject/3319755/),罗伯·莱纳,罗伯·莱纳 / 安德鲁·沙因曼 / 文德琳·范·德拉安南,玛德琳·卡罗尔 / 卡兰·麦克奥利菲 / ...,🎉028,🌟9.1,1855146,430931,7447,Flipped / 萌动青春 / 青春萌动 / 冒失 / 梧桐树之恋,2010,美国,剧情 / 喜剧 / 爱情,90分钟,[tt0817177](https://imdb.com/title/tt0817177)
28,电影,[活着](https://movie.douban.com/subject/1292365/),张艺谋,芦苇 / 余华,葛优 / 巩俐 / ...,🎉029,🌟9.3,857832,182469,2957,活着 / 人生 / Lifetimes / To Live,1994,中国大陆 / 中国香港,剧情 / 家庭 / 历史,132分钟,[tt0110081](https://imdb.com/title/tt0110081)
29,电影,[蝙蝠侠：黑暗骑士 The Dark Knight](https://movie.douban.com/subject/1851857/),克里斯托弗·诺兰,乔纳森·诺兰 / 克里斯托弗·诺兰 / 大卫·S·高耶,克里斯蒂安·贝尔 / 希斯·莱杰 / ...,🎉030,🌟9.2,1075537,184674,2537,The Dark Knight / 蝙蝠侠前传2：黑暗骑士 / 黑暗骑士(台) / 蝙蝠侠-黑夜之神(港) / 蝙蝠侠6：暗夜骑士 / Batman: The Dark Knight / TDK,2008,美国 / 英国,剧情 / 动作 / 科幻 / 惊悚 / 犯罪,152分钟,[tt0468569](https://imdb.com/title/tt0468569)
30,电影,[哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone](https://movie.douban.com/subject/1295038/),克里斯·哥伦布,史蒂夫·克洛夫斯 / J. K. 罗琳,丹尼尔·雷德克里夫 / 艾玛·沃森 / ...,🎉031,🌟9.2,1211348,190676,1161,Harry Potter and the Sorcerer's Stone / 哈利波特1：神秘的魔法石(港/台) / 哈1 / Harry Potter and the Philosopher's Stone,2001,美国 / 英国,奇幻 / 冒险,152分钟 / 159分钟(加长版),[tt0241527](https://imdb.com/title/tt0241527)
31,电影,[指环王3：王者无敌 The Lord of the Rings: The Return of the King](https://movie.douban.com/subject/1291552/),彼得·杰克逊,弗兰·威尔士 / 菲利帕·鲍恩斯 / 彼得·杰克逊 / J.R.R.托尔金,伊利亚·伍德 / 西恩·奥斯汀 / ...,🎉032,🌟9.3,814040,116436,1057,The Lord of the Rings: The Return of the King / 魔戒三部曲：王者再临(台/港) / 指环王III：王者无敌 / 魔戒3：王者归来 / 指环王3：国王归来 / 指环王3：皇上回宫(豆友译名),2003,美国 / 新西兰,剧情 / 动作 / 奇幻 / 冒险,201分钟 / 254分钟(加长版) / 263分钟(蓝光加长版),[tt0167260](https://imdb.com/title/tt0167260)
32,电影,[我不是药神](https://movie.douban.com/subject/26752088/),文牧野,韩家女 / 钟伟 / 文牧野,徐峥 / 王传君 / ...,🎉033,🌟9.0,2130658,546647,17257,我不是药神 / 中国药神 / 印度药神 / 印度药商 / 生命之路 / Dying to Survive / Drug Dealer,2018,中国大陆,剧情 / 喜剧,117分钟,[tt7362036](https://imdb.com/title/tt7362036)
33,电影,[乱世佳人 Gone with the Wind](https://movie.douban.com/subject/1300267/),维克多·弗莱明 / 乔治·库克 / 山姆·伍德,玛格丽特·米切尔 / 西德尼·霍华德 / 奥利弗·H·P·加勒特 / 本·赫克特 / 乔·斯沃林 / 约翰·范·德鲁登,费雯·丽 / 克拉克·盖博 / ...,🎉034,🌟9.3,700463,158852,2800,Gone with the Wind / 飘,1939,美国,剧情 / 爱情 / 历史 / 战争,238分钟 / 234分钟,[tt0031381](https://imdb.com/title/tt0031381)
34,电影,[飞屋环游记 Up](https://movie.douban.com/subject/2129039/),彼特·道格特 / 鲍勃·彼德森,彼特·道格特 / 鲍勃·彼德森 / 汤姆·麦卡锡,爱德华·阿斯纳 / 克里斯托弗·普卢默 / ...,🎉035,🌟9.1,1342863,219372,3115,Up / 冲天救兵(港) / 天外奇迹(台) / 飞屋历险记,2009,美国,剧情 / 喜剧 / 动画 / 冒险,96分钟,[tt1049413](https://imdb.com/title/tt1049413)
35,电影,[素媛 소원](https://movie.douban.com/subject/21937452/),李濬益,金智慧 / 曹重勋 / 金成旭,薛景求 / 严志媛 / ...,🎉036,🌟9.3,695831,147271,2195,소원 / 许愿 / 希望：为爱重生(台) / So-won / Hope,2013,韩国,剧情,122分钟,[tt3153634](https://imdb.com/title/tt3153634)
36,电影,[哈尔的移动城堡 ハウルの動く城](https://movie.douban.com/subject/1308807/),宫崎骏,宫崎骏 / 黛安娜·温恩·琼斯,倍赏千惠子 / 木村拓哉 / ...,🎉037,🌟9.1,1040589,188241,1775,ハウルの動く城 / 哈尔移动城堡(港) / 霍尔的移动城堡(台) / 呼啸山城 / 豪尔的机动城堡 / Howl's Moving Castle / Hauru no ugoku shiro,2004,日本,动画 / 奇幻 / 冒险,119分钟,[tt0347149](https://imdb.com/title/tt0347149)
37,电影,[十二怒汉 12 Angry Men](https://movie.douban.com/subject/1293182/),西德尼·吕美特,雷金纳德·罗斯,亨利·方达 / 马丁·鲍尔萨姆 / ...,🎉038,🌟9.4,498621,120056,2294,12 Angry Men / 12怒汉,1957,美国,剧情,96分钟,[tt0050083](https://imdb.com/title/tt0050083)
38,电影,[何以为家 كفرناحوم](https://movie.douban.com/subject/30170448/),娜丁·拉巴基,娜丁·拉巴基 / 吉哈德·霍加里 / 米歇尔·凯塞尔瓦尼 / 乔治斯·哈巴兹 / 哈立德·穆扎纳,赞恩·阿尔·拉菲亚 / 约丹诺斯·希费罗 / ...,🎉039,🌟9.1,1057533,265019,4900,كفرناحوم / 迦百农 / 星仔打官司(港) / 我想有个家(台) / Cafarnaúm / Capernaum / Capharnaüm,2018,黎巴嫩 / 美国 / 法国 / 塞浦路斯 / 卡塔尔 / 英国,剧情,126分钟 / 117分钟(中国大陆),[tt8267604](https://imdb.com/title/tt8267604)
39,电影,[摔跤吧！爸爸 Dangal](https://movie.douban.com/subject/26387939/),涅提·蒂瓦里,比于什·古普塔 / 施热亚·简 / 尼基尔·麦罗特拉 / 涅提·蒂瓦里,阿米尔·汗 / 法缇玛·萨那·纱卡 / ...,🎉040,🌟9.0,1587047,319024,8526,Dangal / 我和我的冠军女儿(台) / 打死不离3父女(港) / 摔跤吧！老爸 / 摔跤家族 / दंगल / Wrestling Competition,2016,印度,剧情 / 家庭 / 传记 / 运动,161分钟(印度) / 140分钟(中国大陆),[tt5074352](https://imdb.com/title/tt5074352)
40,电影,[让子弹飞](https://movie.douban.com/subject/3742360/),姜文,朱苏进 / 述平 / 姜文 / 郭俊立 / 危笑 / 李不空 / 马识途,姜文 / 葛优 / ...,🎉041,🌟9.0,1720590,327608,5470,让子弹飞 / 让子弹飞一会儿 / 火烧云 / Let The Bullets Fly,2010,中国大陆 / 中国香港,剧情 / 喜剧 / 动作 / 西部,132分钟,[tt1533117](https://imdb.com/title/tt1533117)
41,电影,[猫鼠游戏 Catch Me If You Can](https://movie.douban.com/subject/1305487/),史蒂文·斯皮尔伯格,杰夫·内桑森,莱昂纳多·迪卡普里奥 / 汤姆·汉克斯 / ...,🎉042,🌟9.1,1043152,188584,1565,Catch Me If You Can / 逍遥法外 / 捉智双雄(港) / 神鬼交锋(台) / 我知道你是谁 / 有种来抓我,2002,美国 / 加拿大,剧情 / 传记 / 犯罪,141 分钟,[tt0264464](https://imdb.com/title/tt0264464)
42,电影,[天空之城 天空の城ラピュタ](https://movie.douban.com/subject/1291583/),宫崎骏,宫崎骏,田中真弓 / 横泽启子 / ...,🎉043,🌟9.2,886899,151253,1734,天空の城ラピュタ / 天空之城拉普他 / 空中城堡拉普他 / Tenkû no shiro Rapyuta / Laputa: Castle in the Sky,1986,日本,动画 / 奇幻 / 冒险,125分钟,[tt0092067](https://imdb.com/title/tt0092067)
43,电影,[鬼子来了](https://movie.douban.com/subject/1291858/),姜文,姜文 / 史建全 / 述平 / 尤凤伟,姜文 / 香川照之 / ...,🎉044,🌟9.3,634847,121162,1748,鬼子来了 / Devils on the Doorstep,2000,中国大陆,剧情 / 喜剧,139分钟 / 162分钟(戛纳电影节),[tt0245929](https://imdb.com/title/tt0245929)
44,电影,[少年派的奇幻漂流 Life of Pi](https://movie.douban.com/subject/1929463/),李安,扬·马特尔 / 大卫·麦基,苏拉·沙玛 / 伊尔凡·可汗 / ...,🎉045,🌟9.1,1363574,311770,7716,Life of Pi / 少年Pi的奇幻漂流 / 漂流少年Pi,2012,美国 / 中国台湾 / 英国 / 加拿大,剧情 / 奇幻 / 冒险,127分钟,[tt0454876](https://imdb.com/title/tt0454876)
45,电影,[海蒂和爷爷 Heidi](https://movie.douban.com/subject/25958717/),阿兰·葛斯彭纳,约翰娜·斯比丽 / 佩特拉·比翁迪娜·沃尔普,阿努克·斯特芬 / 布鲁诺·冈茨 / ...,🎉046,🌟9.3,629200,190323,2558,Heidi / 飘零燕(港) / 海蒂 / 阿尔卑斯山少女海蒂,2015,德国 / 瑞士,剧情 / 家庭 / 冒险,111分钟,[tt3700392](https://imdb.com/title/tt3700392)
46,电影,[钢琴家 The Pianist](https://movie.douban.com/subject/1296736/),罗曼·波兰斯基,罗纳德·哈伍德,阿德里安·布罗迪 / 托马斯·克莱舒曼 / ...,🎉047,🌟9.3,651132,120547,1858,The Pianist / 钢琴战曲(港) / 战地琴人(台) / 战地琴声 / 钢琴师,2002,英国 / 法国 / 波兰 / 德国,剧情 / 音乐 / 传记 / 战争,149分钟,[tt0253474](https://imdb.com/title/tt0253474)
47,电影,[大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒](https://movie.douban.com/subject/1299398/),刘镇伟,刘镇伟 / 吴承恩,周星驰 / 吴孟达 / ...,🎉048,🌟9.0,1235120,140432,1064,西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒 / 齐天大圣东游记 / 大话东游之一 / A Chinese Odyssey Part One - Pandora's Box,1995,中国香港 / 中国大陆,喜剧 / 爱情 / 奇幻 / 古装,88分钟,[tt0112778](https://imdb.com/title/tt0112778)
48,电影,[指环王2：双塔奇兵 The Lord of the Rings: The Two Towers](https://movie.douban.com/subject/1291572/),彼得·杰克逊,弗兰·威尔士 / 菲利帕·鲍恩斯 / 斯蒂芬·辛克莱 / 彼得·杰克逊 / J.R.R.托尔金,伊利亚·伍德 / 西恩·奥斯汀 / ...,🎉049,🌟9.2,763752,89696,487,The Lord of the Rings: The Two Towers / 魔戒二部曲：双城奇谋 / 指环王II：双塔 / 魔戒2：双塔奇谋,2002,美国 / 新西兰,剧情 / 动作 / 奇幻 / 冒险,180分钟 / 223分钟(加长版) / 235分钟(蓝光加长版),[tt0167261](https://imdb.com/title/tt0167261)
49,电影,[闻香识女人 Scent of a Woman](https://movie.douban.com/subject/1298624/),马丁·布莱斯特,博·古德曼 / 乔瓦尼·阿尔皮诺,阿尔·帕西诺 / 克里斯·奥唐纳 / ...,🎉050,🌟9.1,898960,183370,3296,Scent of a Woman / 女人香 / 女人的芳香,1992,美国,剧情,157 分钟,[tt0105323](https://imdb.com/title/tt0105323)
50,电影,[死亡诗社 Dead Poets Society](https://movie.douban.com/subject/1291548/),彼得·威尔,汤姆·舒尔曼,罗宾·威廉姆斯 / 罗伯特·肖恩·莱纳德 / ...,🎉051,🌟9.2,738905,176898,5098,Dead Poets Society / 暴雨骄阳(港) / 春风化雨(台) / 壮志骄阳,1989,美国,剧情,128 分钟,[tt0097165](https://imdb.com/title/tt0097165)
51,电影,[罗马假日 Roman Holiday](https://movie.douban.com/subject/1293839/),威廉·惠勒,达尔顿·特朗勃 / 伊安·麦克莱伦·亨特 / 约翰·戴顿,奥黛丽·赫本 / 格利高里·派克 / ...,🎉052,🌟9.1,960216,179824,1803,Roman Holiday / 金枝玉叶(港) / 罗马假期(台) / 罗马的假日,1953,美国,剧情 / 喜剧 / 爱情,118分钟,[tt0046250](https://imdb.com/title/tt0046250)
52,电影,[绿皮书 Green Book](https://movie.douban.com/subject/27060077/),彼得·法雷里,尼克·瓦莱隆加 / 布莱恩·库瑞 / 彼得·法雷里,维果·莫腾森 / 马赫沙拉·阿里 / ...,🎉053,🌟8.9,1671583,399402,7359,Green Book / 绿簿旅友(港) / 幸福绿皮书(台) / 绿书,2018,美国 / 中国大陆,剧情 / 喜剧 / 音乐 / 传记,130分钟,[tt6966692](https://imdb.com/title/tt6966692)
53,电影,[大闹天宫](https://movie.douban.com/subject/1418019/),万籁鸣,李克弱 / 万籁鸣,邱岳峰 / 富润生 / ...,🎉054,🌟9.4,444937,56736,265,大闹天宫 / 大闹天宫 上下集 / The Monkey King / Havoc in Heaven / Uproar in Heaven,1961,中国大陆,剧情 / 动画 / 奇幻 / 古装,113分钟 / 44分钟(上集) / 69分钟(下集) / 84分钟(40周年纪念版),[tt0059855](https://imdb.com/title/tt0059855)
54,电影,[天堂电影院 Nuovo Cinema Paradiso](https://movie.douban.com/subject/1291828/),朱塞佩·托纳多雷,朱塞佩·托纳多雷 / 瓦娜·波利,菲利普·努瓦雷 / 萨瓦特利·卡西欧 / ...,🎉055,🌟9.2,685109,146177,3347,Nuovo Cinema Paradiso / 星光伴我心(港) / 新天堂乐园(台) / Cinema Paradiso,1988,意大利 / 法国,剧情 / 爱情,155分钟 / 173分钟(导演剪辑版) / 123分钟(剧场版) / 124分钟(中国大陆),[tt0095765](https://imdb.com/title/tt0095765)
55,电影,[指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring](https://movie.douban.com/subject/1291571/),彼得·杰克逊,弗兰·威尔士 / 菲利帕·鲍恩斯 / 彼得·杰克逊 / J.R.R.托尔金,伊利亚·伍德 / 西恩·奥斯汀 / ...,🎉056,🌟9.1,858297,129510,967,The Lord of the Rings: The Fellowship of the Ring / 指环王1：魔戒再现 / 指环王I：护戒使者 / 魔戒首部曲：魔戒现身 / 魔戒1：护戒联盟,2001,新西兰 / 美国,剧情 / 动作 / 奇幻 / 冒险,179分钟 / 208分钟(加长版) / 228分钟(蓝光加长版),[tt0120737](https://imdb.com/title/tt0120737)
56,电影,[黑客帝国 The Matrix](https://movie.douban.com/subject/1291843/),莉莉·沃卓斯基 / 拉娜·沃卓斯基,莉莉·沃卓斯基 / 拉娜·沃卓斯基,基努·里维斯 / 劳伦斯·菲什伯恩 / ...,🎉057,🌟9.1,847723,140229,1413,The Matrix / 22世纪杀人网络(港) / 廿二世纪杀人网络(港) / 骇客任务(台) / 骇客帝国,1999,美国,动作 / 科幻,136分钟,[tt0133093](https://imdb.com/title/tt0133093)
